",Type selection,Temps d'execution, Meilleur score, Nombre d'individu, Nombre generation, Mutation, Survivants,"
",selection_p_best,10.361288070678711,254.60200658559484,50,10,0.001,5,"
",selection_par_rang,10.453037977218628,390.68995914530876,50,10,0.001,5,"
",selection_proportionnelle,9.967842817306519,545.6161589147395,50,10,0.001,5,"
",selection_duel,17.636821269989014,354.01553108916727,50,10,0.001,2,"
",selection_duel_pondere,10.181766748428345,415.1495338425856,50,10,0.001,2,"
",selection_p_best,10.504901647567749,281.66437959525507,50,10,0.001,10,"
",selection_par_rang,9.06175947189331,372.1056593460082,50,10,0.001,10,"
",selection_proportionnelle,8.724664688110352,470.2782714109227,50,10,0.001,10,"
",selection_duel,12.181418657302856,506.83233158518357,50,10,0.001,5,"
",selection_duel_pondere,12.04876708984375,326.1297848369634,50,10,0.001,5,"
",selection_p_best,9.45869755744934,533.0696138596771,50,10,0.001,15,"
",selection_par_rang,9.611287117004395,643.9843191401717,50,10,0.001,15,"
",selection_proportionnelle,9.346003293991089,551.0044379396168,50,10,0.001,15,"
",selection_duel,12.065722942352295,583.8737947710338,50,10,0.001,7,"
",selection_duel_pondere,11.854584455490112,593.9351395021265,50,10,0.001,7,"
",selection_p_best,8.320746660232544,474.00263152183726,50,10,0.001,20,"
",selection_par_rang,8.22300386428833,435.60416909078987,50,10,0.001,20,"
",selection_proportionnelle,8.251925468444824,651.3064677052988,50,10,0.001,20,"
",selection_duel,10.361283302307129,416.6612168222614,50,10,0.001,10,"
",selection_duel_pondere,10.265539646148682,581.5453826375841,50,10,0.001,10,"
",selection_p_best,7.212714672088623,517.6323931714313,50,10,0.001,25,"
",selection_par_rang,7.098037958145142,314.63757897017217,50,10,0.001,25,"
",selection_proportionnelle,7.182786703109741,709.3388008371487,50,10,0.001,25,"
",selection_duel,9.957331657409668,489.8034332620993,50,10,0.001,12,"
",selection_duel_pondere,9.924456596374512,340.8126266934924,50,10,0.001,12,"
",selection_p_best,6.031864643096924,528.2049358092906,50,10,0.001,30,"
",selection_par_rang,5.738666772842407,437.87242476493367,50,10,0.001,30,"
",selection_proportionnelle,5.959044933319092,766.4476905910952,50,10,0.001,30,"
",selection_duel,9.835692882537842,460.52966842804955,50,10,0.001,15,"
",selection_duel_pondere,9.497598648071289,355.1376397377711,50,10,0.001,15,"
",selection_p_best,4.7343809604644775,696.3426084560808,50,10,0.001,35,"
",selection_par_rang,4.780168533325195,734.7001663766963,50,10,0.001,35,"
",selection_proportionnelle,4.742326021194458,734.7001663766963,50,10,0.001,35,"
",selection_duel,8.898187398910522,434.5468776907467,50,10,0.001,17,"
",selection_duel_pondere,8.847376585006714,418.20009665268384,50,10,0.001,17,"
",selection_p_best,3.7699153423309326,627.3083194415957,50,10,0.001,40,"
",selection_par_rang,3.3550260066986084,688.7764992027921,50,10,0.001,40,"
",selection_proportionnelle,3.4288330078125,501.3708654341317,50,10,0.001,40,"
",selection_duel,8.074440479278564,553.1934369440027,50,10,0.001,20,"
",selection_duel_pondere,8.00155782699585,614.5863373322711,50,10,0.001,20,"
",selection_p_best,2.472344160079956,854.8103808856156,50,10,0.001,45,"
",selection_par_rang,2.441502094268799,854.8103808856156,50,10,0.001,45,"
",selection_proportionnelle,2.435457468032837,762.6755796452219,50,10,0.001,45,"
",selection_duel,7.691420555114746,387.99608255235813,50,10,0.001,22,"
",selection_duel_pondere,7.52686882019043,347.80156354201586,50,10,0.001,22,"
",selection_p_best,11.935120105743408,514.9482786111189,50,10,0.005,5,"
",selection_par_rang,11.567058563232422,509.6517314576764,50,10,0.005,5,"
",selection_proportionnelle,11.918076038360596,621.8851917197785,50,10,0.005,5,"
",selection_duel,12.291125059127808,470.5711872664179,50,10,0.005,2,"
",selection_duel_pondere,11.977959632873535,293.8011943751903,50,10,0.005,2,"
",selection_p_best,11.10531997680664,612.8782181124075,50,10,0.005,10,"
",selection_par_rang,10.456025838851929,613.3055125455707,50,10,0.005,10,"
",selection_proportionnelle,8.998931169509888,458.68223707216555,50,10,0.005,10,"
",selection_duel,9.428780317306519,536.8641075813027,50,10,0.005,5,"
",selection_duel_pondere,9.508617639541626,613.3055125455707,50,10,0.005,5,"
",selection_p_best,7.514909029006958,500.1831667777373,50,10,0.005,15,"
",selection_par_rang,7.491960525512695,348.0916966931376,50,10,0.005,15,"
",selection_proportionnelle,7.6764538288116455,487.2367563533279,50,10,0.005,15,"
",selection_duel,9.305121183395386,383.48855213815176,50,10,0.005,7,"
",selection_duel_pondere,9.027840375900269,249.28689222372358,50,10,0.005,7,"
",selection_p_best,6.459719896316528,481.3195259665984,50,10,0.005,20,"
",selection_par_rang,6.46168327331543,664.929072587471,50,10,0.005,20,"
",selection_proportionnelle,6.441768646240234,664.929072587471,50,10,0.005,20,"
",selection_duel,8.505250215530396,546.8815011013947,50,10,0.005,10,"
",selection_duel_pondere,8.290855169296265,637.6728428509093,50,10,0.005,10,"
",selection_p_best,5.723691463470459,602.9603100245428,50,10,0.005,25,"
",selection_par_rang,5.8326942920684814,524.7518928314307,50,10,0.005,25,"
",selection_proportionnelle,5.766618967056274,674.2527115974267,50,10,0.005,25,"
",selection_duel,7.848962068557739,469.4921595328232,50,10,0.005,12,"
",selection_duel_pondere,8.01061487197876,703.4402668473637,50,10,0.005,12,"
",selection_p_best,4.718338966369629,594.5138665660616,50,10,0.005,30,"
",selection_par_rang,4.58273983001709,594.3513894116247,50,10,0.005,30,"
",selection_proportionnelle,4.594755172729492,734.1582141227475,50,10,0.005,30,"
",selection_duel,7.570714235305786,472.9824867377094,50,10,0.005,15,"
",selection_duel_pondere,7.5518317222595215,283.2334528702795,50,10,0.005,15,"
",selection_p_best,3.2892024517059326,660.579338675963,50,10,0.005,35,"
",selection_par_rang,3.480689764022827,374.5588718295611,50,10,0.005,35,"
",selection_proportionnelle,3.5325496196746826,648.0178850591487,50,10,0.005,35,"
",selection_duel,6.57739520072937,469.5059163180796,50,10,0.005,17,"
",selection_duel_pondere,6.3051018714904785,464.2867662384329,50,10,0.005,17,"
",selection_p_best,2.456470251083374,504.1262378273412,50,10,0.005,40,"
",selection_par_rang,2.6000046730041504,504.2955932322159,50,10,0.005,40,"
",selection_proportionnelle,2.336792230606079,504.2955932322159,50,10,0.005,40,"
",selection_duel,5.648845195770264,504.2955932322159,50,10,0.005,20,"
",selection_duel_pondere,5.7975358963012695,316.67646827599435,50,10,0.005,20,"
",selection_p_best,1.8919811248779297,469.3014880649664,50,10,0.005,45,"
",selection_par_rang,1.8270704746246338,469.3014880649664,50,10,0.005,45,"
",selection_proportionnelle,1.787219524383545,469.3014880649664,50,10,0.005,45,"
",selection_duel,5.4474265575408936,469.3014880649664,50,10,0.005,22,"
",selection_duel_pondere,5.826415061950684,364.2559481745782,50,10,0.005,22,"
",selection_p_best,8.70475959777832,270.2866187955181,50,10,0.01,5,"
